1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,country
3.6,3.4,3.8,3.6,3.8,4.1,4.0,4.3,4.6,4.7,4.9,5.3,5.6,5.7,6.0,6.7,7.4,7.9,8.5,8.3,8.4,8.2,7.9,8.1,8.8,9.6,11.5,13.2,16.8,17.5,19.8,24.1,27.3,30.9,33.2,33.2,34.2,37.8,40.6,41.2,36.9,40.7,44.3,46.8,49.7,52.7,55.9,59.4,63.0,Bolivia
1.2,1.0,1.1,1.2,1.2,1.1,1.5,2.4,3.1,3.4,3.8,3.8,3.9,4.0,4.3,4.8,4.9,5.0,4.8,5.4,5.7,5.5,5.4,7.5,8.8,9.8,9.9,10.6,10.7,10.1,12.6,15.1,13.9,14.3,15.5,13.5,15.1,16.1,17.0,16.7,14.9,18.7,20.4,20.8,21.9,23.5,25.3,27.1,29.1,Botswana
145.8,167.6,179.2,143.7,143.0,226.9,263.3,286.5,320.1,439.4,455.3,399.2,382.5,429.2,546.8,770.9,851.1,883.9,864.3,599.6,655.5,560.0,509.8,558.2,669.3,891.6,1107.6,1397.1,1695.9,1669.2,2208.7,2614.0,2464.1,2471.7,2456.1,1800.0,1796.6,2063.5,1916.9,1873.3,1476.1,1649.6,1920.0,2126.8,2265.1,2362.2,2476.6,2632.2,2774.5,Brazil
37.8,40.7,42.5,43.6,46.4,39.7,35.1,40.7,66.5,67.8,29.9,2.9,11.9,6.4,11.3,19.0,12.3,11.3,15.0,13.6,13.2,14.2,16.4,21.1,26.2,29.9,34.4,44.4,54.5,52.0,50.7,57.7,54.3,55.8,57.1,50.8,54.0,59.3,66.4,68.9,70.3,84.1,89.1,103.1,110.3,117.5,123.8,129.8,136.0,Bulgaria
2.4,2.1,1.9,1.8,1.6,1.7,2.3,2.7,2.9,2.9,3.5,3.5,3.8,3.6,2.2,2.7,2.9,2.8,3.2,3.4,3.0,3.2,3.6,4.7,5.4,6.2,6.5,7.6,9.4,9.4,10.1,12.1,12.6,13.4,13.9,11.8,12.8,14.2,15.9,16.2,18.0,19.7,18.9,20.8,22.9,24.9,26.8,28.7,30.7,Burkina Faso
1.0,1.0,1.0,1.1,1.0,1.2,1.2,1.2,1.1,1.1,1.1,1.2,1.1,0.9,0.9,1.0,0.9,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.8,2.0,2.2,2.3,2.5,2.7,3.1,3.0,3.2,3.0,3.0,3.1,3.4,3.9,3.2,3.1,3.4,3.8,4.2,4.7,Burundi
0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.6,0.7,0.6,0.6,0.7,0.9,1.1,1.1,1.3,1.6,2.0,1.9,1.8,2.0,1.9,2.0,2.0,1.8,1.9,2.0,2.1,2.2,1.9,2.1,2.3,2.6,2.8,3.0,3.2,3.4,3.6,Cabo Verde
8.8,10.0,9.6,9.7,10.2,10.7,13.9,16.2,16.4,14.6,14.6,16.3,15.0,15.6,10.6,10.1,11.2,11.4,11.3,11.6,10.2,11.0,12.4,15.9,18.8,19.5,20.9,23.9,27.7,27.9,27.5,30.6,30.2,33.7,36.4,32.2,33.8,36.1,40.0,39.7,40.9,45.4,44.3,49.3,53.0,56.8,60.2,63.5,67.1,Cameroon
276.1,307.2,314.6,341.9,356.7,366.2,379.0,433.1,509.4,567.2,596.1,612.5,594.4,579.1,579.9,605.9,630.6,655.0,634.0,678.4,744.6,739.0,760.1,895.6,1026.5,1173.5,1319.4,1468.9,1552.9,1376.5,1617.3,1793.3,1828.4,1846.6,1805.8,1556.5,1528.0,1649.3,1725.3,1743.7,1647.6,2001.5,2137.9,2117.8,2238.6,2364.6,2474.3,2583.8,2699.4,Canada
0.7,0.7,0.7,0.7,0.7,0.9,1.2,1.3,1.4,1.4,1.6,1.5,1.5,1.3,0.9,1.1,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.2,1.3,1.4,1.5,1.8,2.0,2.1,2.1,2.4,2.5,1.7,1.9,1.7,1.8,2.1,2.3,2.3,2.4,2.6,2.5,2.8,3.0,3.2,3.4,3.6,3.8,Central African Republic
0.7,0.9,0.8,0.8,0.9,1.0,1.2,1.4,1.6,1.5,1.8,1.8,1.9,1.6,1.3,1.6,1.8,1.7,2.0,1.7,1.6,1.9,2.3,3.1,5.0,6.7,7.5,8.7,10.4,9.3,10.7,12.2,12.4,13.0,14.0,11.0,10.2,10.1,11.0,11.0,10.8,11.8,12.1,12.6,13.2,13.8,14.4,15.1,15.8,Chad
29.0,34.4,25.6,20.8,20.2,17.4,18.7,22.0,25.9,29.9,33.2,38.2,46.6,49.9,57.5,74.1,78.6,85.7,82.0,75.6,78.2,71.5,70.3,76.5,99.1,122.3,153.8,172.6,179.7,171.8,217.1,251.2,267.2,277.2,259.4,242.5,249.3,276.4,295.4,278.4,254.3,316.7,300.7,344.4,354.5,372.5,390.4,407.9,426.7,Chile
303.0,288.7,284.6,305.4,314.2,310.1,300.9,327.7,408.7,458.2,396.6,413.2,492.1,617.4,561.7,731.0,860.5,958.0,1024.2,1088.3,1205.5,1333.6,1465.8,1657.0,1949.4,2290.0,2754.1,3555.7,4577.3,5089.0,6033.8,7492.2,8539.6,9624.9,10524.2,11113.5,11226.9,12265.3,13841.8,14340.6,14862.6,17759.3,17886.3,17700.9,18560.0,19781.7,21059.8,22291.1,23608.9,"China, People's Republic of"
