,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022
,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
0,6569.0,548.0,0.0,3264.0,8609.0,879.0,0.0,6229.0,8987.0,1104.0,0.0,7468.0,11973.0,1836.0,0.0,7945.0,13667.0,2290.0,0.0,9444.0,15785.0,4321.0,1717.0,32270.0,22038.0,5749.0,3434.0,17171.0,35948.0,12586.0,4595.0,20999.0,32375.0,11317.0,6237.0,29756.0,36826.0,12878.0,6696.0,41484.0,54959.0,21049.0,10811.0,30258.0,53066.0,42650.0,33607.0,117209.0,65526.0,35263.0,20610.0,53937.0,89626.0,34442.0,18540.0,48906.0,63342.0,35630.0,27505.0,65314.0,73430.0,33211.0,20280.0,56555.0,66884.0,36519.0,22988.0,60816.0,83868.0,37119.0,20868.0,49238.0,72057.0,38564.0,22903.0,58215.0,87742.0,39214.0,23889.0,176550.0,245620.0,91196.0,63776.0,105848.0,138452.0,69376.0,37793.0,137331.0,222360.0,18078.0,21735.0,32938.0,35796.0,90324.0,139592.0,184151.0,130650.0,168558.0,140379.0,34498.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86128.0,35386.0,17640.0,11850.0,27915.0,65831.0,17198.0,10588.0,24471.0,34585.0,21842.0,16249.0,48486.0,72028.0,21160.0,12560.0,38620.0,74132.0,27815.0,15909.0,40617.0,70525.0,24625.0,14974.0,32184.0,61645.0,32311.0,15048.0,34944.0,83113.0,30792.0,15483.0,130034.0,315302.0,70216.0,45586.0,74431.0,153785.0,57396.0,30133.0,106058.0,335824.0,94673.0,70263.0,85271.0,64113.0,57111.0,108588.0,123635.0,159337.0,117294.0,96465.0,16878.0
2,6044.0,528.0,0.0,3150.0,14596.0,1076.0,0.0,9435.0,14224.0,898.0,0.0,9755.0,16369.0,2322.0,0.0,8487.0,13766.0,2091.0,0.0,8887.0,15087.0,4048.0,1579.0,29398.0,18634.0,4655.0,2988.0,15567.0,49239.0,10783.0,3709.0,16470.0,33082.0,9739.0,4824.0,20093.0,29563.0,10729.0,5511.0,21580.0,74196.0,18919.0,8551.0,22227.0,44579.0,41834.0,36502.0,6090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10242.0,828.0,0.0,4794.0,19812.0,1390.0,0.0,8393.0,12294.0,1360.0,0.0,12120.0,25143.0,2639.0,0.0,9814.0,20633.0,3710.0,0.0,13078.0,32148.0,5878.0,1817.0,53533.0,21524.0,5469.0,3606.0,21349.0,64255.0,14511.0,4869.0,24238.0,51630.0,16951.0,5874.0,34624.0,56721.0,14957.0,6637.0,35822.0,101601.0,21089.0,10989.0,32467.0,86643.0,80660.0,85160.0,252485.0,66026.0,33645.0,21472.0,60163.0,141620.0,35180.0,19675.0,49872.0,67103.0,43956.0,29313.0,92861.0,122092.0,38478.0,21948.0,65648.0,91813.0,47635.0,26334.0,91022.0,126247.0,45088.0,25199.0,57493.0,102462.0,56844.0,27334.0,67119.0,168150.0,56890.0,26263.0,200635.0,504652.0,111258.0,70426.0,113224.0,241415.0,88621.0,44677.0,174683.0,397319.0,38620.0,47427.0,63975.0,49129.0,64310.0,124850.0,205430.0,174649.0,210398.0,137509.0,34818.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24367.0,13930.0,6546.0,4404.0,10182.0,21912.0,6796.0,3733.0,9215.0,12835.0,7965.0,5925.0,18447.0,28683.0,8586.0,4862.0,14079.0,29634.0,11838.0,5835.0,15155.0,30907.0,10938.0,5907.0,13188.0,25942.0,13557.0,5801.0,14761.0,38552.0,14018.0,6604.0,58418.0,150350.0,32162.0,18442.0,30378.0,63428.0,24262.0,11353.0,36213.0,118508.0,49577.0,32422.0,42346.0,34261.0,24229.0,44233.0,50455.0,62751.0,45291.0,39825.0,6480.0
5,1640.0,175.0,0.0,781.0,2444.0,199.0,0.0,1685.0,2859.0,139.0,0.0,2097.0,2988.0,642.0,0.0,1854.0,2911.0,581.0,0.0,2020.0,3317.0,1117.0,465.0,6569.0,5452.0,1224.0,789.0,3714.0,10310.0,2855.0,784.0,3767.0,8043.0,2629.0,1152.0,4666.0,5905.0,2714.0,1288.0,5200.0,13046.0,4248.0,2031.0,5002.0,7326.0,5560.0,5085.0,11220.0,8213.0,4748.0,2881.0,6716.0,13264.0,4830.0,2509.0,5419.0,8267.0,5393.0,4140.0,11701.0,17974.0,5584.0,3309.0,7937.0,15104.0,7526.0,4305.0,10587.0,23670.0,7692.0,4524.0,9614.0,16153.0,9782.0,4749.0,10911.0,28111.0,11062.0,6039.0,48116.0,108830.0,26610.0,15738.0,23494.0,45901.0,22066.0,10098.0,26718.0,73462.0,33348.0,24717.0,33388.0,26658.0,16961.0,30457.0,39732.0,47135.0,43823.0,38898.0,6091.0
6,24495.0,2079.0,0.0,11989.0,45461.0,3544.0,0.0,25742.0,38364.0,3501.0,0.0,31440.0,56473.0,7439.0,0.0,28100.0,50977.0,8672.0,0.0,33429.0,66337.0,15364.0,5578.0,121770.0,67648.0,17097.0,10817.0,57801.0,159752.0,40735.0,13957.0,65474.0,125130.0,40636.0,18087.0,89139.0,129015.0,41278.0,20132.0,104086.0,243802.0,65305.0,32382.0,89954.0,191614.0,170704.0,160354.0,497499.0,189081.0,97842.0,61217.0,158913.0,332253.0,98446.0,55045.0,137883.0,186132.0,114786.0,83132.0,236809.0,314207.0,107019.0,62959.0,182839.0,277567.0,131333.0,75371.0,218197.0,335217.0,125462.0,71472.0,161717.0,278259.0,151058.0,75835.0,185950.0,405668.0,151976.0,78278.0,613753.0,1324754.0,331442.0,213968.0,347375.0,642981.0,261721.0,134054.0,481003.0,1147473.0,234296.0,196564.0,257918.0,209957.0,252935.0,447720.0,603403.0,574522.0,585364.0,453076.0,98765.0
