Country,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,-0.5300670380967745,0.09853432685685704,0.6608877197981293,-0.8371023085448819,0.02818278851021816,0.0062812632651798594,-0.1781824837178263,0.03199316948103359,1.1947657139457064,-1.2479900986305665,-0.38312392498380454,0.19405352210679006,1.144598106243702,-0.8587103257426847,-0.08630649049078443,0.30598828301357983,0.26013406596990407,-0.23961485730144005,-0.2876884326263891,0.8185930363896325,-0.5092964715494404,-0.054690084665065086,0.37336688145520824,0.14740355729657395,0.6038525324171324,-0.4744135442890318,0.22479062743322586,-0.37299003792767493,-0.11767168859740451,0.6229061689009399,-0.8570771496898963,0.029187734402604804,1.6969430051257213,-1.5240786758499496,0.6529312549124633,-0.5074957810853995,-0.0811557130797631,0.2282663374090923,0.5837519723965698,-1.1593801571895561,0.38450588373283523,0.508752072077101,-1.2781825456986695,0.49932992957544897,0.24518426738592325,0.319472391202023,-0.8438443322876594,0.1269263550264732,0.9988693895451775,-0.8110972648888968,0.010217931801751234,0.24476544301912995,0.6310301577825257,-1.0790201535376696,0.5549831262585343,0.12730341900133624,0.7396566815911427,-0.013861089096199208,-0.517881064359063,-0.182035308786773,0.009338439609134497,0.04585426816189653,-0.8618928343806438,0.17135680181097612,0.755820697675798,-0.22851749720485515,-0.046859345044723,0.2179648880183791,-0.23856794973913154,-0.6462729244775325,0.7877721674677893,-0.439405300709069,0.5213148829525629,-0.8997906216824241,0.7322863957390702,0.5763818910173804,-0.17085413717145315,-0.34455632923835466,0.5360973715981885,0.6055693378799916,-1.6111808246503934,0.6697236001990738,0.26783920492558977,-0.36486589888631826,0.6569932078196956,-0.6077052105211891,0.3867671046424732,0.22500017060706767,-0.49589624197239957,-0.24267176846962712,0.5835428062196151,-0.23886099772237301,0.3071189318070644,0.31955617077186815,0.47491609710744953,-0.9277636337919297,-0.9768845543789517,0.3486181862989248,0.5666665312033814,0.06993312292562592,-0.17366002911898448,0.5572445484461674,-0.3400334433295207,0.24321613599307668,0.0011304954388222654,-0.023743570350124088,-0.17558612216457448,0.05971512403120727,-0.3159966492772668,-0.21486595128249775,0.9860133517726979,-0.40268030917424724,1.2867673046425168,-0.28919591216785534,-0.20134016257434695,0.24627314300792946,-0.1472780908172453,-0.8793970552121806,0.8533922351984131,-0.3279315558709861,-0.1783500396626323
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49166615804036695,0.1583302815755232,-0.49166615804036695,0.2583363850911482,0.2333323160807268,-0.625,0.2750002543131558,-0.6083335876464879,0.41666666666666785,-0.23333358764648438,1.000001271565754,-0.38333638509114465,-0.8249982198079451,0.4333330790201835,0.5916671752929688,-0.34166717529296875,1.183334350585934,-0.2750040690104143,-0.5749969482421875,-0.3583335876464844,0.6583340962727888,0.0,0.0,0.0,0.0,-0.40000152587890625,-0.06666564941405895,0.0916671752929652,0.7333323160807232,-0.18333435058593395,-0.5499979654947893,0.4333318074544259,0.17500050862629735,-0.7999979654947857,0.0999984741210973,-0.258332570393879,-0.10833358764649148,-1.2715657504713818e-06,-0.025001525878909803,0.4666684468587192,-0.2583338419596295,0.01666768391926965,0.4416656494140625,-0.20833333333333215,-0.7583325703938826,0.366667429606121,0.49999745686848485,-0.7499987284342389,0.6500027974446603,0.5833307902018241,-0.1583328247070277,-0.8000017801920691,1.1083335876464915,0.1750030517578125,-0.20833587646484375,-0.5749994913737027,-0.2833328247070277,0.616666158040367,0.5583343505859375,-0.05000050862630445,0.20833333333333925,-0.45833333333333925,0.1999994913736991,0.6916681925455705,-0.608334859212242,-0.5666631062825473,0.48332977294921875,0.35833231608073035,-0.5916646321614607,-0.0500005086263009,0.0749994913736991,-0.3166656494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,-0.0033325195312556843,-0.1366673787434891,-0.14333241780598271,0.045833333333327175,0.2533332824707024,-0.24666671752929759,0.006666056315108193,-0.13333282470703267,0.055833180745441524,0.3191663106282583,0.2125010172526025,-0.09583435058593892,0.1374999999999993,-0.3283332824707017,-0.14833272298177036,-0.06999944051106155,0.1083320617675696,0.42500101725260464,-0.027500152587890625,-0.010000101725257338,0.12333272298177178,-0.33083267211914347,0.27333399454752794,-0.17666753133137902,0.12166620890299384,0.06166661580403243,-0.10999959309895502,-0.10583368937174242,0.016667175292962355,-0.03666712443033049,0.13750050862629948,-0.1133346557617152,-0.004166158040366241,0.1700002034505168,-0.09583282470703125,0.09583409627278527,-0.03166758219400734,0.12416636149088234,0.20833231608073177,-0.03749796549479356,-0.1374999999999993,-0.05583394368489536,-0.05583470662434564,0.008334096272783142,-0.01999867757161411,0.22999852498372775,-0.3716669718424548,0.0691680908203125,-0.047501373291016336,0.11666768391927818,0.2716672261555999,-0.06583455403645999,-0.20999984741211009,-0.26666742960612666,-0.08583221435546307,0.5033330281575488,0.07166722615560417,-0.039166768391933005,-0.09000040690103717,-0.0550005594889349,-0.14999898274739465,0.05916646321614749,-0.199999237060549,-0.014166768391923767,0.29499893188475923,-0.40583216349283546,0.11249974568685417,0.4358327229817718,-0.1875002543131572,-0.6125000000000007,0.47916768391926823,0.1341662089029967,-0.525000762939456,0.028333536783861746,0.06916631062825118,0.6575002034505175,-0.211666615804031,0.2316665649414027,0.09750061035156321,-0.2825009663899749,0.21999994913737098,0.025834147135412877,-0.19166717529296307,-0.08000030517577983,0.112500762939451,0.0566660563151018,-0.011666107177731533,-0.23333435058593466,0.37666778564452486,-0.09999999999999432,-0.001666005452477748,-0.11000086466470904,0.05749969482421946,0.20250116984048816,0.1016667683919259,-0.0833335876464858,0.04916610717774006,-0.10416615804036766,0.13333333333333286,0.27583287556966596,0.02166697184244981,-0.3174997965494839,-0.030832926432285745,0.15749944051106013,-0.17250010172525876,0.20166702270508097,-0.1641672770182332,-0.0316668192545535,0.010833740234375,-0.18916702270507812,0.04750010172525876,0.15666732788085724,-0.09583333333332789,-0.046667226155598485,0.2816670735677036,-0.09666722615559564,-0.08166656494140767,0.15500030517577912,-0.048333740234369316,-0.10499928792318158,-0.009167226155597064
Australia,-0.02299486805484463,-0.32434538516249134,0.08926632498269527,-0.23128294221301005,0.39726612112719195,-0.5268239656289033,0.24092968670118609,-0.12035983534865835,0.08869404973503947,-0.28578314814858885,0.518959969233066,0.30283266581271207,-0.3233448038851954,-0.07620224606966985,-0.02045046833585573,-0.1605319355385042,-0.01951576780640707,0.4821681074297466,-0.15625000183564808,-0.38284744836674633,0.15075751908408108,-0.16584323878658935,-0.1273056172394007,0.27409007897961146,0.3611083628808558,-0.16463685203564182,-0.26765069286971155,0.32255020957533276,0.09338769951788706,-0.5331357143357955,0.6978837549686432,-0.4171896010872871,-0.05674818793265146,0.18302454207490015,-0.009350270062331134,-0.18173587249594547,-0.07425887485148763,0.15141220772160224,0.12313902824233836,-0.16846595028211908,-0.02685272752531631,0.3794507536256724,0.35844448904540016,-0.026581025776870604,-0.5350625837204568,0.031270605326682244,0.04563568033307419,-0.02085387449078624,-0.021010422600586054,0.08512848598958556,0.19806896931490314,0.013142301552541369,-0.21907936212544143,-0.3380434893842228,-0.22294960659836605,0.4372776559749134,0.33529317286233606,-0.2596838143611251,0.1896409694699308,0.0778368181488851,-0.33418562086065506,0.3044713488454782,-0.6245965407142862,0.4682806646733617,-0.10096341276318554,0.29491516136919316,-0.20877801034997034,0.23287223921462896,-0.04450346101492997,-0.476025203073565,0.19132080894547698,0.009045621039092566,-0.11795537542350587,0.17402005149481425,-0.49041910672729827,0.9785491073987522,-0.27419717760071904,-0.19216898257435489,0.28617016174517573,-0.1184371035295726,0.061779491784974994,-0.22111330898442105,-0.19624093530284625,0.5592103012603076,-0.03067357505380741,-0.0350131800935678,-0.33959158774028353,0.337578267816145,-0.05665761457660423,-0.020956870212621936,-0.3462944481723085,0.33978096825685355,0.3874670610970554,-0.3437376468784734,-0.054372556404516104,0.28767288724090534,-0.06668308605986084,-0.24764082276499266,-0.2756834656726532,0.6173377899607644,-0.09492756657999024,0.022434986479900942,-0.040316237448390524,-0.09038620322883517,0.2541708128185647,-0.501091061520718,0.43826164665469136,0.047249676681790476,-0.2934576902484558,0.13702657314235722,0.376766311478395,-0.2662014047883936,0.26346342129649614,0.13785405971394837,-0.432472832069017,0.41706605925567075,-0.266827221842032,0.1857542372523362,0.050127634260810794,-0.0933465224363097,-0.32746622831179195
Azerbaijan,-0.2586337084526775,0.10435444420880424,0.18798791252456937,0.6033033239948855,-0.18558557434482958,-0.8724474559675106,0.16418919083592431,-1.162762780089278,1.2860360664648334,-0.8459459374974796,1.3057807887996637,-0.7600601260010542,0.7078829760308012,1.1948197381990457,-2.5508257948958484,0.3208708276261798,0.7127627861034407,-0.698123087038149,0.16981979927143165,0.0831831554034812,-0.224174135440105,1.4372372781192224,-0.5786036553683584,0.3228228650651537,0.722822840149338,-1.8884385355242022,1.3779279466147898,-0.8208708541171328,0.2241741520864462,0.6144144189608345,-0.9314563829261608,-0.6508259132459719,1.919819877312348,-1.2650150393580524,0.31321323991895733,-0.5374625223176972,0.964114161583038,-0.028828835344171022,0.5774024313276596,0.1963963583782986,-0.4199699836450299,-0.671246255124295,0.7244744870039788,-0.8237237114090101,0.16614119032839758,0.4010510340825215,-0.9500751183913634,-0.27207207250165544,-0.5588588456849795,0.48063061903188964,0.8649399695811684,0.482132145950386,-0.8444444832501108,-1.3580330216490832,1.0108858866018577,0.45840837755002806,1.5515015715951317,-1.42507516478633,0.2926427108031491,0.34647139092465373,-0.3435434847622658,0.6769519915451871,-1.4785285962594514,0.48753758557923854,-0.20660665908733256,0.6777027440858672,-0.7458709045215408,0.28040540970123606,-0.20307806519058813,-0.4786787047400485,-0.28986486336132433,0.3129879945033305,0.7635885942447649,-0.8451201686630019,0.8713214469027588,0.09864855922378268,0.041666648767373804,-0.13318310771976494,0.40037530463737037,0.80960962579057,-1.8897146459098333,1.1933182707061998,-0.500600628666692,-0.40818318912574814,1.1072072782316007,0.6865615501060143,-0.796471468321196,0.1850600554062436,-0.2551051310232806,0.25885891269993255,0.3706455688934769,-0.20540530903561294,-0.22214720592842419,0.07680183094185011,-1.8935436278850108,2.1553304037890273,0.1793543823488486,-0.8310811197435535,-0.12905405555759408,0.022897864605213147,0.16501506384428533,0.3816816438067785,0.5702702931097683,-0.1457958110459936,-0.6469970046578943,-0.25638137135777717,-0.5083333640485197,0.1382882888610646,1.0396396233154857,-1.0199699280140284,0.15217713693956725,0.8379880708975116,-0.18175678353409808,0.9230480616515102,-0.11006006034644855,-1.1737988317334982,0.2695195542441482,0.04264266283304474,-0.13566071027750004,-0.29842338905678156,0.08828827855107191
Bangladesh,0.2433008763265505,-0.04166676639731648,-0.10724422147331225,0.07717870575151053,-0.33758160127793957,0.17244033148605808,-0.032244289622589406,0.1486928769446152,-0.9960784829000495,0.868954195176336,0.11851850522110041,-0.3908495103092271,-0.03823530907724404,0.19264707378312806,-0.11579533495933703,-0.011601391960596175,0.27766901319582615,-0.13458604334746127,-0.0014161585722618497,-0.04945538921813153,0.44281036609658386,-0.22385612604145422,-0.14466229607077707,-0.10125267012186612,0.1369826123605371,0.08807177741023509,-0.06693898618610916,0.21715685277203534,-0.4041393919967611,0.004248508960330355,0.3011435132660374,0.10522875650775987,-0.34101290069114754,0.07941183285515763,0.37521792808648513,-0.18148171252414258,-0.4541394269024899,0.22924841255404615,-0.09400860156888768,0.29128523018365016,-0.10212428273717933,-0.28126341377208774,0.43611102634006826,0.20740754204377865,-0.051797546852132115,0.09411780662786029,0.001579525683702343,-0.11367109710095136,-0.5824073592042573,0.314270277168756,0.056100143066935004,0.3516882354137927,-0.6523964992016182,0.18202618368310297,-0.1898147649494888,0.5716231269254628,0.13736380782782476,-0.15234225404028834,-0.21895400735028403,-0.001960829192515945,-0.21753816459173336,0.028213683816076696,0.1569714265711184,-0.13110020789186194,-0.22521783168019383,0.11677559580418162,-0.17184068434638178,0.6102394735631407,-0.30795207470331576,0.06486914308502634,0.44362745929127456,-0.14346388274547905,-0.4297387199983582,0.48240743067788827,-0.4227667332734413,0.3297385421453747,-0.09602420781951793,0.0594229189139277,0.17864925409453747,-0.17957531964336937,0.32908514018671653,0.04488020421113603,-0.6483662673850539,0.35092611873851354,-0.027832347063714735,0.1544117563949925,-0.022058707176991987,-0.1291395615388602,0.21503284761848818,0.0716229274641691,-0.3033224201410114,0.01225479391924722,0.35724388903782156,0.04384554029809351,-0.394989146646072,0.4347494370537355,0.2943356166997546,-0.7274510502036087,0.16519613826975998,0.24014165874140048,0.14760325313393352,0.11051212884242645,-0.08943358277963043,-0.014106733866498189,-0.08257086760078991,-0.017537958481728566,-0.038670999032483167,0.3646514327437771,-0.6830611218554239,0.5876360874549995,0.03257095735837012,-0.13306117005857487,-0.0954791632093368,0.5051741340321385,0.08235293120340614,-0.1612742970452068,-0.47140550301745066,0.48496731693708384,0.29744019851185755,-0.27184097855179346,-0.30212434756209916
Belarus,-0.25,0.04999983310699463,-0.6083334684371949,2.1250000794728594,-1.4083332618077593,-0.3166665633519491,0.4083332618077596,-1.4749998648961382,0.9916664759318031,0.10833334922790527,1.5250000953674316,-1.150000254313151,1.0083335240681965,0.7833332220713297,-2.133333206176758,-0.3666666348775227,0.2250002225240071,0.2166663805643717,-0.5249997774759928,0.5499995549519857,0.008333683013916016,1.2166663805643716,-0.8749999205271404,-0.0916669766108194,2.508333881696065,-3.1416669686635332,1.3583335081736245,0.058333396911621094,-0.9916669527689617,1.1083334287007651,-1.7666667302449541,-0.5749999682108564,2.1166666348775225,-0.8249998490015665,0.5999997854232788,0.2916670640309652,-0.1250001589457194,-0.5333333015441895,1.8083331584930418,-0.5249997774759927,-0.06666644414265921,0.19999972979227687,0.19999996821085642,-1.1666665077209477,-0.19166692097981758,0.916666825612386,-1.7833334604899087,0.47500014305114746,-0.8083336353302002,0.33333373069763195,1.0833332935969033,0.27499985694885254,-0.8250001668930054,-0.9583330154418945,-0.083333174387614,2.3916664918263755,-0.3333335717519126,-1.1333331267038982,1.12500003973643,-1.533333420753479,0.8916668097178143,0.4583332141240437,-1.4916667540868123,0.08333349227905262,-1.0750001271565752,1.633333404858907,-0.20833337306976324,0.25833300749460864,0.0833337704340617,-1.6000003019968674,-0.650000095367431,0.8583335876464842,1.0916667381922405,-0.8000000715255737,2.0416666666666665,0.3500000635782877,0.05833347638448094,-0.7583334445953369,0.2166666984558105,1.383333365122477,-3.241666316986084,1.2583327293395996,0.9500001271565754,-0.9750000437100728,0.8916667103767395,0.8749999999999999,-0.8499999046325682,-0.5666669209798177,-0.5916665395100911,1.1166666348775227,-0.34166661898295086,1.3833334445953374,-1.3666667143503828,0.31666668256123864,-2.0666669209798174,2.525000254313151,-0.4416666030883788,-0.9583333333333333,1.3333330154418945,-0.23333303133646643,0.44166652361551917,-0.25833328564961744,0.38333344459533714,0.4999996821085606,-1.866666475931803,0.34166693687438965,-0.7916669050852458,0.6083332697550456,1.2916665077209473,-1.274999976158142,-0.9833332300186157,1.6416668097178144,0.8249998887379963,0.24166663487752227,0.9333335558573408,-1.8250005245208738,0.5500002702077229,1.0166664123535156,-2.416666030883789,-0.28333361943562824,1.4000000953674316
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6333334181043839,-0.25277773539225246,0.5388889312744136,0.10555542839898013,-0.2611109415690098,0.29999987284342344,0.5611114501953125,0.01944425370958136,-0.5805557039048939,0.5194444656372079,0.5027781592475042,-1.1305557886759443,-0.1638891432020393,1.0777779685126405,-0.7194445927937823,0.2666666242811404,0.2194444868299703,-0.3861111534966355,0.21111138661702356,0.8805554707845049,-0.377777735392252,0.5027778413560657,-1.2388890584309902,0.14444457160102075,-0.34722232818603516,0.5444445080227318,0.05833350287543393,-0.927778138054741,-0.07499980926513716,0.6333332061767574,-0.897222518920898,0.2416670057508683,0.36111132303873683,0.11111100514729744,0.4972219467163086,0.1416669421725807,-0.6777779261271153,-0.14722209506564665,-0.26944446563720703,0.28055540720621686,-0.04999987284342389,0.719444486829969,-0.3888888888888884,0.04166698455810547,-0.4138891432020402,0.266666518317328,0.5611110263400612,-0.15555540720621774,-0.7749998304578991,0.5777774386935768,0.03333367241753482,0.7861108779907227,-0.9777777989705401,0.38333352406819543,-0.19444465637206942,-1.2305557462904195,0.3722224765353732,0.3194445504082579,-0.011111259460449663,-0.5861108567979598,-0.5722224447462296,1.7444441583421493,0.4916668997870559,0.5944444868299694,-1.0444441901312933,0.45833301544189364,-0.4777779049343529,0.15833356645372199,0.18333329094780826,-0.12499978807237433,0.11944421132405658,-0.438888867696126,-0.21388880411783973,0.8944444656372079,-0.4083333545260963,-0.5888888041178384,-0.2611115773518886,0.5750003390842022,-0.21388891008165167,0.6555558310614691,0.5805553860134545,-0.7638888888888884,-0.08611117468939877,-0.3694443172878694,0.6888889736599406,-0.172222561306425,0.22777801089816574,0.32499991522895133,-0.10000027550591462,-0.05833307902018259,-0.730555534362793,0.0083332061767587,-0.5750000211927642,0.1555556191338443,-0.1944444444444442,0.7361113230387368,-1.061111238267686,0.96666653951009,1.0194446775648336,-0.14722251892089844,0.5111114713880749,-0.75,0.580555068122016,0.26111136542426205,-0.7361110051472988,0.09444438086615747,-0.43611102634006116
Bhutan,0.6728621444569018,-0.5719894455781596,0.06341613982568539,0.1788176907710799,0.3718585085910444,0.18442415400533285,0.34308460328799484,-0.3359075000356846,-0.4937391414276142,1.3769197880077506,-1.783333314026839,1.1544938378725167,-0.4607766369458446,0.010994771388187274,0.11319809226257327,-1.176090769742796,1.2538612741866455,0.19157943426002433,-0.8294938937947833,2.0156850232295795,-0.6422339151459013,-0.7817625974485409,-0.8795811684759887,1.3550174456824369,-0.861234676567463,1.175152600539711,-1.1800174396907686,0.05109074644185263,0.3989528552815944,0.7159249853297283,-0.3932373502907751,0.6231675555776768,-0.6223385612794061,-0.31138743488784115,0.07364744582517346,-0.3860383391588371,1.1103402565495095,-0.3346422088915979,-1.5852312484128692,1.4642016359232652,-0.6571772244172145,0.12705059783828787,0.3400306368789572,-0.2463569308242679,0.6951134849801317,-1.0291667309106955,0.3952224774718509,0.558376926402147,-0.9595548153755793,0.21505227513338454,0.3970768813687471,0.3274432510189591,0.14253918912398333,-0.5138088895388329,0.11716848643038347,-0.08994332158752627,-1.3016797859631293,0.9897032982391831,-0.8011125894117122,0.2772250699747332,0.34114327688699575,-0.46972078386609617,0.5534466948184686,0.12735606488132767,-0.8339223811763716,0.26518330399278334,-0.3298211605344985,0.08654013395725357,0.38259168195474835,0.42657060772961053,-0.2375654117391175,0.45959856955376743,-0.2651395714511846,-0.007984274552958581,-1.0613220208186362,0.8781631279990307,-0.6694807182431841,-0.21007856898283173,0.7901177814077585,-0.07563264623778565,0.26367800314805123,-0.6195243482606347,0.5394850709259398,-0.11555414050037704,0.8334206353099365,-0.2751308427847299,-0.6957678303876662,-0.18466411211103662,1.5088788077469282,-0.20959867107930563,-0.9756544439372394,-0.1326789156928747,0.43935430237135975,-0.07445465873465196,-0.5808245573992519,0.013852437337241952,1.7521815657823687,-0.524956353671886,-0.5981020935750969,0.16348172066307143,0.13265698784100977,-0.5721859324456915,0.5051919560990008,0.1772251878109259,0.26926269331527664,0.09648774930943915,-0.9524869785674994,0.10034914166515563,0.12960299646667295,0.5813917306497238,0.8437173354063994,-1.6854494237983033,-0.3900305097223775,1.529733774341631,0.6271161933219886,-0.14264838067233043,-0.6240620105470462,0.2455932940072003,0.050261895277945,-0.22615625970650655,-0.20785337218439537
Botswana,0.0354156494140625,0.2145843505859375,-0.40833346048991004,0.1458333333333357,0.0020840962727817214,-0.6020851135253906,0.3812510172526089,-0.01666768391926965,-0.06666564941406605,-0.12500127156575047,-0.07500012715658144,-0.24999872843424598,-0.08333269755044981,0.14999898274739465,0.49166615804035985,-0.05833307902017992,-0.8812491099039725,0.5166657765706404,0.3145847320556605,0.3166662851969413,-0.01666768391926965,-0.6166667938232386,0.6500002543131487,-0.624998728434246,0.11666488647461293,0.733332951863602,-0.6499989827473946,-0.125,-0.13333384195963305,-0.10833295186361269,0.41458257039388613,0.0041681925455669955,0.04999860127767164,0.21875000000000355,0.00416755676269176,0.20416641235351207,0.16875012715658144,-0.1604162851969413,-0.3708337148030587,0.09375,0.5916671752929688,-0.3000011444091797,-0.3916664123535156,0.4145851135253871,-0.14375178019205137,0.24583371480305516,-0.7604160308837891,0.3874994913736991,0.08541742960611742,-0.3708330790201799,0.539582570393879,-0.3083337148030587,0.13333257039388258,-0.18541781107584754,-0.19999821980794863,0.12708282470703836,-0.22083282470703836,0.2979164123535192,0.049999872843429216,0.006250381469719457,-0.30833371480305516,0.016667048136387308,0.308331807454433,-0.5687478383382185,0.2979164123535192,-0.039582570393879024,0.1604150136311837,0.2520840962727817,0.3145828247070348,-0.460417429606121,0.09375,0.6666673024495431,-0.6374994913736955,-0.02499961853027699,-0.13958422342935606,0.03125190734862926,0.18333307902017992,-0.1395842234293596,0.38333447774251184,-0.08125178019205492,-0.3166669209798165,0.2583338419596295,-0.08124987284342211,0.09583346048991004,0.08958307902018348,-0.3416659037272183,0.456250508626308,-0.14791742960612453,0.07291666666666785,0.05208206176758168,-0.014583587646484375,-0.20833206176758168,-0.04166666666666785,0.2124989827473982,0.13125038146973012,-0.5437507629394567,0.27916781107584754,0.5145848592122384,-0.17500178019205492,-0.20208231608073035,0.08333206176757457,-0.02916653951008996,0.12708282470703125,-0.29791450500487926,0.06458218892414891,-0.02708371480305516,-0.03958257039388258,0.10416603088378906,0.04166793823242543,-0.056250890096031014,-0.11458460489908973,-0.029165267944335938,0.06041590372721117,0.016665776570643942,0.058334986368812736,0.0,-0.07083320617675781,0.0187505086263009,0.08124987284342566,0.029165903727211173,-0.12083307902017637
